Row number 	Query_Otu_ID 	Species_ID 	Percent_ID
155 	257496 	96561.5 	100.00
156 	259552 	167879.5 	31.52
157 	261043 	1042375.3 	93.11
158 	262661 	983544.3 	95.47
159 	2636127 	910047.3 	82.83
160 	264589 	1131279.3 	86.11
161 	266637 	1408433.3 	89.38
162 	267117 	869213.4 	24.17
163 	267263 	1507806.5 	94.53
164 	268187 	1090322.3 	97.29
165 	270591 	926562.3 	62.46
166 	2710 	926569.3 	86.05
167 	2716666 	1379401.3 	82.74
168 	2726907 	1130343.3 	92.30
169 	2726913 	563040.3 	98.26
170 	274061 	631362.4 	96.51
171 	277566 	572480.3 	99.10
172 	277790 	556261.3 	4.01
173 	279220 	1330035.3 	93.09
174 	279463 	869213.4 	24.58
175 	279486 	1121374.3 	89.90
176 	279524 	1286106.3 	92.32
177 	280438 	523791.5 	89.66
178 	2805269 	1269943.4 	95.60
179 	2805275 	1348635.3 	96.40
180 	281597 	929558.5 	94.99
181 	286079 	1122946.3 	55.81
182 	286220 	910049.3 	84.29
183 	2879785 	1307761.3 	86.50
184 	296708 	396588.4 	91.14
185 	2974035 	927658.4 	37.18
186 	2977984 	563040.3 	96.11
187 	304550 	1122194.3 	93.65
188 	306303 	929558.5 	95.62
189 	309489 	1452721.3 	23.01
190 	309672 	1536652.3 	93.51
191 	3097224 	563040.3 	94.99
192 	311077 	1380387.3 	90.87
193 	312446 	391603.3 	96.77
194 	312590 	1121374.3 	90.88
195 	313174 	1548151.3 	87.76
196 	313619 	180332.3 	18.05
197 	318462 	293826.6 	88.69
198 	319044 	177439.6 	94.28
199 	3192521 	1049564.3 	91.95
200 	3208272 	1236540.3 	88.31
201 	322996 	926550.5 	84.37
202 	3237710 	404380.4 	81.34
203 	325677 	384765.3 	94.65
204 	333366 	713586.3 	92.25
205 	334326 	944547.4 	95.43
206 	336364 	1500301.3 	98.49
207 	336945 	1353532.3 	82.23
208 	337743 	713586.3 	89.99
209 	3394114 	1499966.3 	87.53
210 	339560 	55601.73 	94.18
211 	341286 	765914.3 	98.72
212 	343315 	404380.4 	80.64
213 	3452632 	448385.16 	69.74
214 	346035 	903510.3 	97.10
215 	347053 	396588.4 	90.68
216 	348517 	1528106.3 	98.85
217 	348956 	293826.6 	89.07
218 	349369 	572480.3 	94.69
219 	349839 	298386.8 	93.99
220 	3512130 	1286635.3 	94.11
221 	352525 	1121405.3 	92.09
222 	354150 	879567.3 	95.74
223 	356406 	396588.4 	91.81
224 	3645942 	344747.3 	81.68
225 	3681149 	910047.3 	82.67
226 	3769781 	679259.3 	92.82
227 	3789052 	765914.3 	89.22
228 	3849736 	180332.3 	15.10
229 	3937639 	926562.3 	64.54
230 	3959282 	1536652.3 	93.24
231 	4003891 	1191523.3 	83.87
232 	4024552 	1381596.3 	91.95
233 	4088122 	644966.3 	57.22
234 	424252 	563040.3 	94.70
235 	4295122 	879212.3 	94.19
236 	4295422 	1536652.3 	94.52
237 	42970 	1125979.3 	94.64
238 	4299611 	439235.4 	90.77
239 	4301711 	572480.3 	92.58
240 	4308446 	526222.3 	98.28
241 	4311140 	944547.4 	93.04
242 	4315634 	641491.3 	93.87
243 	43170 	879567.3 	95.56
244 	4325392 	1121405.3 	92.17
245 	4326709 	1076588.3 	93.42
246 	4327994 	1122946.3 	53.49
247 	4336989 	1121923.3 	94.64
248 	4340775 	1121374.3 	94.46
249 	4345840 	1236540.3 	88.13
250 	4353790 	1076588.3 	92.39
251 	4357972 	1269943.4 	96.48
252 	4360022 	1232437.3 	95.12
253 	4363469 	880073.4 	88.18
254 	4365868 	555779.3 	82.87
255 	4372047 	563040.3 	93.93
256 	4372683 	313603.6 	93.73
257 	4374025 	349215.9 	87.83
258 	4377554 	1536652.3 	90.73
259 	4383030 	1232437.3 	94.85
260 	4388099 	1499966.3 	85.91
261 	4392246 	1121402.3 	82.72
262 	4397768 	177439.6 	48.75
263 	4403422 	1049564.3 	89.67
264 	4404199 	1130343.3 	92.31
265 	4406363 	869213.4 	24.26
266 	4415166 	679259.3 	94.36
267 	4417897 	1131279.3 	85.82
268 	4418567 	1168034.5 	90.53
269 	4419561 	1121909.4 	99.86
270 	4420688 	345632.6 	85.39
271 	4425436 	572480.3 	91.15
272 	4432125 	998674.3 	94.11
273 	4432632 	869213.4 	89.47
274 	4443230 	869213.4 	23.52
275 	4447969 	926562.3 	61.65
276 	4448074 	869213.4 	23.91
277 	4448437 	743729.4 	87.44
278 	4452198 	563040.3 	94.76
279 	4453271 	377629.3 	100.00
280 	4456433 	1122191.4 	94.97
281 	4457581 	910049.3 	84.09
282 	4462641 	1236540.3 	89.98
283 	4466951 	1121392.3 	92.15
284 	4468959 	411489.7 	8.37
285 	4471425 	1191523.3 	89.51
286 	4471530 	1121405.3 	92.50
287 	46306 	400668.8 	96.28
288 	512687 	641491.3 	97.04
289 	513711 	572480.3 	94.74
290 	513979 	1049928.3 	80.48
291 	514031 	563040.3 	97.03
292 	5162 	381.35 	98.14
293 	51975 	572480.3 	94.95
294 	520046 	1236540.3 	89.09
295 	524763 	869213.4 	24.05
296 	529673 	563040.3 	94.49
297 	532696 	1536652.3 	92.92
298 	533801 	1121451.3 	93.81
299 	533922 	177437.4 	95.28
300 	534841 	1121374.3 	92.19
301 	535578 	1049564.3 	95.09
302 	536496 	1236514.3 	85.12
303 	536541 	563040.3 	93.66
304 	537119 	439235.4 	89.95
305 	537909 	563040.3 	92.16
306 	539184 	1101193.3 	92.18
307 	539582 	1090322.3 	95.78
308 	540095 	880073.4 	89.17
309 	540433 	675813.3 	31.68
310 	541356 	563040.3 	96.56
311 	543219 	706587.4 	82.17
312 	543661 	1049564.3 	90.54
313 	543724 	1049564.3 	95.07
314 	544008 	1163419.3 	98.36
315 	544780 	869213.4 	23.65
316 	545739 	1167006.5 	96.25
317 	546186 	944547.4 	91.65
318 	547346 	869213.4 	24.90
319 	547808 	523791.5 	90.48
320 	548576 	1055808.4 	96.89
321 	549186 	563040.3 	92.41
322 	549531 	177439.6 	92.33
323 	549640 	641526.4 	99.54
324 	550979 	509191.4 	17.52
325 	553072 	637616.3 	91.47
326 	554166 	879212.3 	95.04
327 	554261 	1331007.4 	96.57
328 	554437 	1300343.3 	86.06
329 	554703 	216895.17 	96.14
330 	556096 	293826.6 	89.01
331 	556389 	1049564.3 	91.60
332 	558955 	1167006.5 	95.26
333 	559454 	1236540.3 	88.36
334 	559498 	1009420.3 	80.86
335 	559500 	563040.3 	95.83
336 	560027 	221126.3 	97.79
337 	560509 	167879.5 	32.45
338 	560961 	177437.4 	93.76
339 	561165 	28229.3 	5.19
340 	562002 	293826.6 	87.41
341 	562269 	935261.3 	90.40
342 	562282 	1049564.3 	90.34
343 	562805 	1130343.3 	91.93
344 	562924 	1236513.3 	93.52
345 	563303 	563040.3 	93.97
346 	563900 	669.30 	95.68
347 	564007 	387093.6 	92.16
348 	565182 	1449065.3 	85.09
349 	567396 	1536652.3 	93.23
350 	568516 	1286106.3 	89.46
351 	569481 	439375.7 	92.15
352 	570128 	1286106.3 	93.76
353 	570256 	314283.5 	92.87
354 	570646 	180332.3 	18.24
355 	571155 	1121912.4 	95.17
356 	571484 	1506585.3 	92.61
357 	573260 	563040.3 	92.87
358 	573374 	1216967.6 	84.83
359 	574279 	1172190.3 	92.69
360 	575370 	177439.6 	93.01
361 	575710 	1167006.5 	92.55
362 	575725 	926569.3 	86.66
363 	575734 	1049564.3 	93.09
364 	578719 	177439.6 	46.94
365 	578863 	563040.3 	93.55
366 	578893 	563040.3 	97.84
367 	578928 	944547.4 	91.90
368 	580063 	1121405.3 	90.06
369 	580254 	715451.3 	97.89
370 	580875 	573413.5 	77.21
371 	583232 	1007116.3 	91.13
372 	583538 	563040.3 	95.35
373 	584099 	563040.3 	90.56
374 	584363 	563040.3 	90.00
375 	584500 	367737.6 	97.26
376 	5860 	1280952.3 	100.00
377 	586050 	563040.3 	91.28
378 	586280 	1307761.3 	87.42
379 	586305 	563040.3 	96.17
380 	587394 	326298.7 	93.30
381 	587444 	1123053.3 	6.83
382 	587972 	1536652.3 	93.60
383 	588023 	572480.3 	92.69
384 	589038 	929563.3 	4.00
385 	589792 	1298609.3 	97.30
386 	590360 	926569.3 	86.00
387 	590825 	491952.3 	97.17
388 	591118 	1329795.3 	88.04
389 	594000 	439235.4 	90.66
390 	594019 	177439.6 	94.65
391 	594030 	1485545.3 	99.25
392 	594041 	1121405.3 	91.99
393 	594195 	939568.3 	87.01
394 	594314 	1049564.3 	94.66
395 	614662 	573059.4 	80.93
396 	616119 	883109.3 	5.38
397 	617834 	1380600.3 	95.08
398 	61847 	363253.5 	81.69
399 	625028 	326298.7 	94.95
400 	630311 	1094980.5 	94.12
401 	633392 	572480.3 	94.51
402 	643311 	1129374.4 	91.79
403 	644295 	326298.7 	94.58
404 	647833 	1167006.5 	92.97
405 	649412 	338963.6 	96.29
406 	653071 	1502770.3 	95.37
407 	656996 	983545.3 	98.97
408 	663304 	869213.4 	23.89
409 	665721 	637616.3 	93.16
410 	665886 	177437.4 	88.74
411 	666579 	1380600.3 	92.09
412 	666906 	326298.7 	95.76
413 	669813 	1009412.3 	93.95
414 	673556 	1036743.4 	83.77
415 	676648 	593590.3 	95.43
416 	680205 	563040.3 	93.66
417 	680415 	1286106.3 	91.85
418 	681299 	563040.3 	93.03
419 	682298 	926569.3 	26.82
420 	692741 	443144.3 	80.91
421 	694774 	396588.4 	92.99
422 	698982 	717959.3 	86.91
423 	703666 	326298.7 	97.33
424 	704166 	326298.7 	94.12
425 	708467 	926562.3 	61.73
426 	713264 	1073573.3 	86.30
427 	714176 	439235.4 	92.27
428 	723443 	177439.6 	91.48
429 	733609 	563040.3 	92.78
430 	734615 	869213.4 	24.44
431 	737652 	349741.6 	80.55
432 	73836 	563040.3 	96.04
433 	741451 	1286106.3 	91.89
434 	742233 	1536652.3 	89.35
435 	750031 	291985.4 	89.84
436 	75096 	944547.4 	89.14
437 	754294 	1499966.3 	86.88
438 	756083 	1442598.4 	9.90
439 	760372 	177439.6 	49.41
440 	769319 	1207071.3 	78.59
441 	769525 	1168034.5 	94.06
442 	770152 	879212.3 	94.88
443 	772232 	1168034.5 	95.80
444 	77437 	1117647.4 	93.30
445 	774941 	177439.6 	49.75
446 	777498 	1506585.3 	96.24
447 	785565 	675814.3 	98.47
448 	78716 	1122946.3 	53.19
449 	78896 	177439.6 	93.72
450 	789777 	234831.3 	27.53
451 	79653 	927083.3 	89.14
452 	79817 	1129794.3 	95.76
453 	79990 	756272.5 	82.35
454 	800306 	563040.3 	94.95
455 	800415 	1167006.5 	93.03
456 	802011 	58133.4 	89.68
457 	803953 	983544.3 	25.19
458 	80438 	314277.4 	90.23
459 	806033 	1330035.3 	94.50
460 	806640 	28229.3 	7.54
461 	807476 	28229.3 	8.05
462 	8091 	674036.3 	97.32
463 	809775 	167879.5 	31.23
464 	810704 	879567.3 	100.00
465 	810713 	1536652.3 	95.30
466 	810850 	572480.3 	93.92
467 	811441 	523791.5 	88.29
468 	813091 	1535422.3 	93.90
469 	813315 	563040.3 	93.13
470 	815284 	563040.3 	93.61
471 	817401 	744980.3 	11.52
472 	820978 	1348635.3 	97.33
473 	823160 	637616.3 	92.64
474 	823251 	742737.3 	6.83
475 	823476 	342610.6 	95.38
476 	824974 	281689.4 	93.31
477 	826744 	1307761.3 	87.78
478 	826918 	913324.3 	92.61
479 	827566 	338966.9 	84.41
480 	829841 	643867.3 	91.19
481 	830290 	1333507.3 	97.13
482 	833609 	553219.3 	98.34
483 	833692 	1049564.3 	95.54
484 	835814 	944547.4 	95.41
485 	836362 	1333509.3 	96.04
486 	836917 	927658.4 	40.56
487 	837464 	926569.3 	85.69
488 	837778 	293826.6 	89.18
489 	838990 	1130343.3 	91.65
490 	855733 	1577905.3 	95.73
491 	886205 	28229.4 	1.36
492 	899488 	1004786.3 	96.19
493 	899854 	572480.3 	93.65
494 	907828 	313594.4 	40.44
495 	908606 	1121405.3 	91.03
496 	91588 	1219065.4 	15.79
497 	916277 	1381596.3 	91.80
498 	935060 	1333507.3 	96.28
499 	93747 	1380600.3 	96.09
500 	95078 	929558.5 	90.52
501 	963779 	1167748.3 	96.07
502 	966794 	1122176.3 	96.91
503 	969805 	1028801.3 	95.80
504 	973998 	1381596.3 	91.17
505 	98692 	563040.3 	96.46
506 	988073 	491952.3 	96.99
507 	988314 	1217662.4 	97.36
508 	989870 	760192.3 	88.50
509 	99001 	1229521.3 	90.70
